OPERATION_TYPE,SITE_CELL_ID,SITE_ID,CELL_STATUS,UTILIZATION_PEAK_TIME,LATITUDE,LONGITUDE
I,909664,429371,ACTIVE,23/10/2018 17:00,13.42507,99.95518
I,909665,429371,ACTIVE,23/10/2018 16:00,13.42507,99.95518
I,909666,429371,ACTIVE,23/10/2018 17:00,13.42507,99.95518
I,909671,429372,ACTIVE,23/10/2018 19:00,13.42537,99.954059
I,909672,429372,ACTIVE,23/10/2018 10:00,13.42537,99.954059
I,909673,429372,XACTIVE,23/10/2018 16:00,13.42537,99.954059
I,909674,429372,ACTIVE,23/10/2018 17:00,13.42537,99.954059
I,909681,432605,ACTIVE,23/10/2018 16:00,13.424584,99.955997
I,909682,432605,ACTIVE,23/10/2018 12:00,13.424584,99.955997
I,909683,432605,ACTIVE,23/10/2018 16:00,13.424584,99.955997
I,909684,432605,ACTIVE,23/10/2018 20:00,13.424584,99.955997
I,909685,432605,ACTIVE,23/10/2018 13:00,13.424584,99.955997
I,909686,432605,ACTIVE,23/10/2018 17:00,13.424584,99.955997
I,909691,458354,ACTIVE,23/10/2018 12:00,13.42643,99.95577
I,909692,458354,ACTIVE,23/10/2018 15:00,13.42643,99.95577
I,909693,458354,ACTIVE,23/10/2018 7:00,13.42643,99.95577
I,909694,458354,ACTIVE,23/10/2018 12:00,13.42643,99.95577
I,909703,434440,ACTIVE,23/10/2018 12:00,13.548664,100.216134
I,909704,434440,ACTIVE,23/10/2018 19:00,13.548664,100.216134
I,909705,434440,ACTIVE,23/10/2018 19:00,13.548664,100.216134
I,909706,434440,ACTIVE,23/10/2018 19:00,13.548664,100.216134
I,909711,434444,ACTIVE,23/10/2018 22:00,13.545373,100.342527
I,909712,434444,ACTIVE,23/10/2018 19:00,13.545373,100.342527
I,915606,404617,ACTIVE,23/10/2018 10:00,13.711807,100.584305
I,915607,404617,XACTIVE,23/10/2018 11:00,13.711807,100.584305
I,915608,404617,ACTIVE,23/10/2018 14:00,13.711807,100.584305
I,915611,404618,ACTIVE,23/10/2018 10:00,13.711807,100.584305
I,915612,404618,ACTIVE,23/10/2018 20:00,13.711807,100.584305
I,915613,404618,ACTIVE,23/10/2018 12:00,13.711807,100.584305
I,915616,417489,ACTIVE,23/10/2018 6:00,13.603016,100.610136
I,915617,386652,ACTIVE,23/10/2018 19:00,13.716768,100.525338
I,915618,385519,ACTIVE,23/10/2018 10:00,13.752523,100.531935
I,915619,385519,ACTIVE,23/10/2018 20:00,13.752523,100.531935
I,915621,428676,ACTIVE,23/10/2018 19:00,13.62841,100.605958
I,915622,428676,ACTIVE,23/10/2018 20:00,13.62841,100.605958
I,915631,386014,ACTIVE,23/10/2018 15:00,13.73974,100.54848
I,915632,386148,ACTIVE,23/10/2018 15:00,13.752465,100.530717
I,909717,437011,ACTIVE,23/10/2018 3:00,13.8025,100.27853
I,909718,437011,ACTIVE,23/10/2018 19:00,13.8025,100.27853
